Date,link,Article
,,
"•,Electric Cars Report,Feb 02, 2024,Canoo,, ",https://electriccarsreport.com/2024/02/canoo-delivers-first-ldv-electric-vehicles-to-zeeba/,Canoo delivers first LDV electric vehicles to Zeeba
"•,Seeking Alpha,Jan 31, 2024,Canoo",https://seekingalpha.com/news/4060503-canoo-successfully-expands-zeebas-fleet-with-electric-vehicles,Canoo successfully expands Zeeba’s fleet with electric vehicles
"•,ngtnews.com,Jan 24, 2024,Canoo,, ",https://ngtnews.com/usps-will-purchase-six-canoo-electric-vehicles,USPS Will Purchase Six Canoo Electric Vehicles
"•,ktul.com,Jan 24, 2024,Canoo,, ",https://ktul.com/amp/us-postal-service-teams-up-with-canoo-for-electrified-delivery-vehicles-electric-kevin-stitt-modernization-oklahoma-city,U.S. Postal Service teams up with Canoo for electrified delivery vehicles
"•,Electrek,Jan 20, 2024,Canoo",https://electrek.co/2024/01/19/canoo-gets-real-as-deliveries-of-its-electric-commercial-van-begin/,Canoo gets real as deliveries of its electric commercial van begin
"•,Fleet News Daily,Jan 17, 2024,Canoo",https://fleetnewsdaily.com/canoo-created-over-100-jobs-in-state-of-oklahoma-to-scale-electric-vehicle-manufacturing/,Canoo Created Over 100 Jobs in State of Oklahoma to Scale Electric Vehicle Manufacturing
"•,nwaonline.com,Jan 11, 2024,Canoo",https://www.nwaonline.com/news/2024/jan/11/canoo-adds-100-new-hires-to-oklahoma-plants/,Canoo adds 100 new hires to Oklahoma plants
"•,GlobeNewswire,Jan 08, 2024,Canoo",https://www.globenewswire.com/news-release/2024/01/08/2805265/0/en/Canoo-Acquires-Manufacturing-Assets-to-Increase-Vehicle-Assembly-Capacity.html,Canoo Acquires Manufacturing Assets to Increase Vehicle Assembly Capacity
"•,Work Truck Online,Nov 27, 2023,Canoo",https://www.worktruckonline.com/10211040/canoo-deliveres-first-electric-lifestyle-delivery-vehicles,Canoo Deliveres First Electric Lifestyle Delivery Vehicles
